"Time (ms)","Trajectory 1"
"0","209.6809"
"48","204.3977"
"80","198.8073"
"112","192.6562"
"144","185.7545"
"176","177.9802"
"208","169.2755"
"240","159.6395"
"272","149.1172"
"304","137.7859"
"336","125.7379"
"368","113.0687"
"400","99.8746"
"448","86.25488"
"480","72.31256"
"512","58.15465"
"544","43.88797"
"576","29.61154"
"608","15.4154"
"640","1.386635"
"672","-12.38497"
"704","-25.80525"
"736","-38.77432"
"768","-51.18445"
"800","-62.92324"
"848","-73.88349"
"880","-83.97238"
"912","-93.11452"
"944","-101.25"
"976","-108.3304"
"1008","-114.3169"
"1040","-119.185"
"1072","-122.9302"
"1104","-125.5639"
"1136","-127.0996"
"1168","-127.5437"
"1200","-126.8961"
"1248","-125.1497"
"1280","-122.2873"
"1312","-118.2904"
"1344","-113.1598"
"1376","-106.9247"
"1408","-99.63535"
"1440","-91.35256"
"1472","-82.13885"
"1504","-72.05187"
"1536","-61.14432"
"1568","-49.473"
"1600","-37.11023"
"1648","-24.14865"
"1680","-10.69671"
"1712","3.131597"
"1744","17.22735"
"1777","31.49268"
"1808","45.83905"
"1840","60.17914"
"1872","74.41816"
"1904","88.45226"
"1936","102.1755"
"1968","115.4874"
"2000","128.2957"
"2048","140.5159"
"2080","152.0685"
"2112","162.8721"
"2144","172.8393"
"2176","181.8825"
"2208","189.9285"
"2240","196.9274"
"2272","202.852"
"2304","207.6914"
"2336","211.4448"
"2368","214.1159"
"2400","215.7078"
"2448","216.2211"
"2480","215.6499"
"2512","213.9765"
"2544","211.1715"
"2576","207.2035"
"2608","202.0554"
"2640","195.7375"
"2672","188.2883"
"2704","179.7668"
"2736","170.2426"
"2768","159.7912"
"2800","148.4977"
"2848","136.4602"
"2880","123.7855"
"2912","110.5807"
"2944","96.94973"
"2976","82.99115"
"3009","68.80183"
"3040","54.48035"
"3072","40.12764"
"3104","25.84763"
"3136","11.74686"
"3168","-2.071021"
"3200","-15.5103"
"3248","-28.48247"
"3280","-40.90102"
"3312","-52.67498"
