"Time (ms)","Trajectory 1"
"0","-217.6784"
"30","-224.6615"
"63","-231.3005"
"97","-237.2747"
"130","-242.3437"
"163","-246.3519"
"197","-249.2111"
"230","-250.8763"
"263","-251.3349"
"297","-250.6038"
"330","-248.7181"
"363","-245.7153"
"397","-241.6267"
"430","-236.4763"
"463","-230.2872"
"497","-223.0906"
"530","-214.9332"
"563","-205.8719"
"597","-195.9607"
"630","-185.2542"
"663","-173.8208"
"697","-161.741"
"730","-149.0962"
"763","-135.9664"
"797","-122.4335"
"830","-108.5793"
"863","-94.48444"
"897","-80.23294"
"930","-65.91549"
"963","-51.62606"
"997","-37.45459"
"1030","-23.48687"
"1063","-9.809468"
"1097","3.491103"
"1130","16.33196"
"1163","28.63316"
"1197","40.31424"
"1230","51.29359"
"1263","61.49187"
"1297","70.83611"
"1330","79.2657"
"1363","86.73651"
"1397","93.21392"
"1430","98.66305"
"1463","103.0474"
"1497","106.334"
"1530","108.4986"
"1563","109.5252"
"1597","109.3997"
"1630","108.1104"
"1663","105.6523"
"1697","102.0303"
"1730","97.26012"
"1763","91.37212"
"1797","84.41085"
"1830","76.43024"
"1863","67.48917"
"1897","57.64828"
"1930","46.96851"
"1963","35.51547"
"1997","23.36545"
"2030","10.60388"
"2063","-2.679973"
"2097","-16.39476"
"2130","-30.44738"
"2163","-44.7441"
"2197","-59.19004"
"2230","-73.68922"
"2263","-88.14726"
"2297","-102.4747"
"2330","-116.5886"
"2363","-130.4105"
"2397","-143.8611"
"2430","-156.8542"
"2463","-169.291"
"2497","-181.0639"
"2530","-192.0738"
"2563","-202.2454"
"2597","-211.5279"
"2630","-219.8856"
"2663","-227.2835"
"2697","-233.6815"
"2730","-239.0386"
"2763","-243.3207"
"2797","-246.5074"
"2830","-248.5899"
"2863","-249.5634"
"2897","-249.4221"
"2930","-248.1631"
"2963","-245.7918"
"2997","-242.3235"
"3030","-237.7778"
"3063","-232.1758"
"3097","-225.5423"
"3130","-217.912"
"3163","-209.3367"
"3197","-199.8876"
"3230","-189.6442"
"3263","-178.6801"
"3297","-167.0596"
"3330","-154.8468"
"3363","-142.1121"
"3397","-128.9308"
"3430","-115.3801"
"3463","-101.5358"
"3497","-87.47313"
"3530","-73.27122"
"3563","-59.01839"
"3597","-44.81859"
"3630","-30.7877"
"3663","-17.03713"
"3697","-3.659331"
"3730","9.274911"
"3763","21.70963"
"3797","33.59267"
"3830","44.86501"
"3863","55.45414"
"3897","65.27566"
"3930","74.24337"
"3963","82.28046"
"3997","89.3242"
"4030","95.32532"
"4063","100.2463"
"4097","104.062"
"4130","106.7611"
"4163","108.3413"
"4197","108.7996"
"4230","108.1274"
"4263","106.3144"
"4297","103.3568"
"4330","99.26272"
"4363","94.0528"
"4397","87.76193"
"4430","80.43463"
"4463","72.11764"
"4497","62.86365"
"4530","52.74276"
"4563","41.84008"
"4597","30.23944"
"4630","18.01399"
"4663","5.226546"
"4697","-8.065586"
"4730","-21.79698"
"4763","-35.88073"
"4797","-50.20897"
"4830","-64.66442"
"4863","-79.13229"
"4897","-93.5073"
"4930","-107.695"
"4963","-121.6061"
"4997","-135.1509"
"5030","-148.2438"
"5063","-160.8118"
"5097","-172.79"
"5130","-184.1106"
"5163","-194.7029"
"5197","-204.4993"
"5230","-213.4368"
"5263","-221.4555"
"5297","-228.5015"
"5330","-234.5271"
"5363","-239.4895"
"5397","-243.3497"
"5430","-246.0761"
"5463","-247.65"
"5497","-248.0672"
"5530","-247.336"
"5563","-245.4776"
"5597","-242.5231"
"5630","-238.5066"
"5663","-233.4609"
"5697","-227.4181"
"5730","-220.4127"
"5763","-212.4841"
"5797","-203.6763"
"5830","-194.0372"
"5863","-183.6206"
"5897","-172.4902"
"5930","-160.7158"
"5963","-148.3671"
"5997","-135.5133"
"6030","-122.2282"
"6063","-108.5939"
"6097","-94.70124"
"6130","-80.64188"
"6163","-66.50233"
"6197","-52.3649"
"6230","-38.31465"
"6263","-24.446"
"6297","-10.86293"
"6330","2.329302"
"6363","15.03485"
"6397","27.17418"
"6430","38.6851"
"6463","49.51483"
"6497","59.6079"
"6530","68.90279"
"6563","77.34076"
"6597","84.87349"
"6630","91.45583"
"6663","97.03625"
"6697","101.5616"
"6730","104.9867"
"6763","107.2784"
"6797","108.4174"
"6830","108.396"
"6863","107.2121"
"6897","104.8712"
"6930","101.3933"
"6963","96.81417"
"6997","91.17271"
"7030","84.50285"
"7063","76.83784"
"7097","68.22078"
"7130","58.70963"
"7163","48.36982"
"7197","37.26382"
"7230","25.45082"
"7263","12.99183"
"7297","-0.0442078"
"7330","-13.57314"
"7363","-27.49657"
"7397","-41.71219"
"7430","-56.11835"
"7463","-70.60688"
"7497","-85.06037"
"7530","-99.36559"
"7563","-113.429"
"7597","-127.1754"
"7630","-140.5328"
"7663","-153.4219"
"7697","-165.7598"
"7730","-177.4661"
"7763","-188.4635"
"7797","-198.679"
"7830","-208.0463"
"7863","-216.5111"
"7897","-224.0328"
"7930","-230.5753"
"7963","-236.098"
"7997","-240.5628"
"8030","-243.9425"
"8063","-246.2148"
"8097","-247.3587"
"8130","-247.3617"
"8163","-246.2281"
"8197","-243.9776"
"8230","-240.6369"
"8263","-236.2311"
"8297","-230.7855"
"8330","-224.332"
"8363","-216.9086"
"8397","-208.5554"
"8430","-199.3122"
"8463","-189.2245"
"8497","-178.3541"
"8530","-166.7827"
"8563","-154.6043"
"8597","-141.9134"
"8630","-128.7977"
"8663","-115.3347"
"8697","-101.5979"
"8730","-87.66476"
"8763","-73.61766"
"8797","-59.54063"
"8830","-45.52009"
"8863","-31.64734"
"8897","-18.01684"
"8930","-4.718341"
"8963","8.170319"
"8997","20.58275"
"9030","32.45701"
"9063","43.72691"
"9097","54.3161"
"9130","64.1397"
"9163","73.11419"
"9197","81.16809"
"9230","88.24577"
"9263","94.30518"
"9297","99.31348"
"9330","103.2437"
"9363","106.0746"
"9397","107.7919"
"9430","108.3824"
"9463","107.8282"
"9497","106.1138"
"9530","103.2395"
"9563","99.22218"
"9597","94.09062"
"9630","87.88495"
"9663","80.65974"
"9697","72.47874"
"9730","63.40242"
"9763","53.48172"
"9797","42.76244"
"9830","31.2962"
"9863","19.14972"
"9897","6.404324"
"9930","-6.849775"
"9963","-20.517"
"9997","-34.49956"
"10030","-48.70256"
"10063","-63.03463"
"10097","-77.40174"
"10130","-91.70523"
"10163","-105.8461"
"10197","-119.7253"
"10230","-133.2415"
"10263","-146.2996"
"10297","-158.8215"
